Section,Category-Internal,Sub-Category-Internal,Category Group-Internal,Heading,Sub-Headings,Section (Node),Prompt (The Question),Field Name,Stage,Multiple Use,Create Node,Category Order,Order,Equifax Fields,Consumer Business,Repeating Applicants,Repeating Entity1,Repeating Entity2,Background Question,Ask When (Node),Ask When,Question ID,Field ID,Source,Form Grouping,Form Group Order,Prompt Grouping,Chad MUO,Chad askWhen,Question Summary,Question In Context,Data Type,Example Answer,Answers,,,,,,,,,,,,,
,Applicant Details,Living Situation,Accommodation,Application,[Applicant] - Living Situation - [Address],Living Situation ,What [is/was] [your/their] current residential address?,Residential Address (Customer-Current),Qualify,Applicant,,2,740,,-,1+,P1+,,,,"EXISTS { MATCH (a:Applicant {applicantId: $applicantId})-[:ANSWERED]->(:Datapoint {fieldId:""F_AD_AddressCheck"", typedValue:""No""}) }",Q_AD_Residential_Address_(CustomerCurrent),F_AD_Residential_Address_(Customer-Current),Customer,,,-,Property,always,,Applicnats Residential address is {string},String,"164 Booran Road, Glen Huntly, VIC 3163",-,address,Find address,Standard,,-,,Google Search or Manual Input,,,,,,"Save as Address 1, Address 2, City, State, Postcode. Australia Only. Provide tick-box to select ""Living outside Australia"""
,Applicant Details,General,,Application,[Applicant] - Living Situation - [Address],Living Situation ,Does applicant live overseas?,Overseas Address,App,Applicant,,3,750,,-,1+,P1+,,Y,,Q_AD_Residential_Status_(Customer) = Oveseas,Q_AD_Overseas_Address,F_AD_Overseas_Address,,,,,Property,always,,Applicant Oversea Address is {string},String,,,string,Ask anything,Standard,,,,,,,,,,Auto-populated by tick-box above
,Applicant Details,Living Situation,Accommodation,Application,[Applicant] - Living Situation - [Address],Living Situation ,How long [have/did] [you/they] [lived/live] here (in years and months)?,Residential Start Date (Customer),Qualify,Applicant,Address 2+ (if cumulative time is less than 3 years),4,760,,-,1+,P1+,,,,-,Q_AD_Residential_Start_Date_(Customer),F_AD_Residential_Start_Date_(Customer),Customer,,,-,Property,always,,Applicant lived in give adrress from {date},Date,"5 years, 2 months",Unsure,date_mm-yy,12/03/2023,Numerical (to start),,Unsure,,mm-yyyy (but accept mm-yy),,,,,,This is the trigger question for 3 year pre-amble to follow once all questions completed for Property 1
,Applicant Details,Living Situation,Accommodation,Application,[Applicant] - Living Situation - [Address],Living Situation ,What [is/was] [your/their] prior residential address?,Residential Address (Customer-Prior),Qualify,Applicant,,5,770,,-,1+,P1+,,,,Q_AD_Residential_Start_Date_(Customer) < 3 months,Q_AD_Residential_Address_(CustomerPrior),F_AD_Residential_Address_(Customer-Prior),Customer,,,-,Property,always,,Applicnats Residential address is {string},String,"164 Booran Road, Glen Huntly, VIC 3163",-,address,Find address,Standard,,-,,Google Search or Manual Input,,,,,,"Save as Address 1, Address 2, City, State, Postcode. Australia Only. Provide tick-box to select ""Living outside Australia"""
,Applicant Details,Living Situation,Renting,Application,[Applicant] - Living Situation - [Address],Living Situation ,How many individuals are on the lease?,Individuals on Lease,Qualify,Applicant,,6,780,,-,1+,P1 only,,,Address is 1,Q_AD_Residential_Status_(Customer) = Renting,Q_AD_Individuals_on_Lease,F_AD_Individuals_on_Lease,Customer,,,-, ,if section count: < 2,,Total of {enum} individual leasing this property,Enum (Single),1,"1, 2, 3, 4, 5+, Unsure",multi_button_single_select,Ask anything,Standard,,Unsure,,-,,,,,,
,Applicant Details,Living Situation,Outright Owner,Application,[Applicant] - Living Situation - [Address],Living Situation ,When is the estimated value of this property?,Property Value,Qualify,Applicant,,7,790,,-,1+,P1 only,,,Address is 1,Q_AD_Residential_Status_(Customer) = Outright Owner,Q_AD_Property_Value,F_AD_Property_Value,Customer,,,-,Property,if section count: < 2,,The estimated value of Applicant property is {integer},Integer,"$1,500,000",-,currency_$0,"$680,000",Numerical (to start),,Unsure,,"$#,###",,,,,,
Quote,Applicant Details,Employment,-,Application,[Applicant] - Employment - [Job],Employment ,What [is/was] [your/their] current employment status?,Employment Status,Qualify,Applicant,,1,800,-,-,1+,C-Job 1+,P-Job1+,,,-,Q_AD_Employment_Status,F_AD_Employment_Status,Customer,,,-,,,You can select more than one option,,Enum (Multi),Employed,"Employed, Self-Employed, Unemployed",multi_button_multi_select,Ask anything,Standard,,-,,-,,,,,,
,Applicant Details,Employment,Employed,Application,[Applicant] - Employment - [Job],Employment ,What [is/was] [your/their] current employment type?,Employment Type(Current),Qualify,Applicant,,2,810,,,,,,,,Q_AD_Employment_Status = Employed,Q_AD_Employment_Type(Current),F_AD_Employment_Type(Current),Customer,,,,,,Explain casual (legal),,Enum (Single),,"Full Time, Part Time, Casual, Other",multi_button_single_select,Ask anything,Standard,,Unsure,,,,,,,,
,Applicant Details,Employment,Employed,Application,[Applicant] - Employment - [Job],Employment ,What [is/was] [your/their] current occupation?,Employment Occupation(Current),Qualify,Applicant,,3,820,,,,,,,,Q_AD_Employment_Status = Employed,Q_AD_Employment_Occupation(Current),F_AD_Employment_Occupation(Current),Customer,,,,,,,,String,,,string,,Standard,,,,,,,,,,
,Applicant Details,Employment,Employed,Application,[Applicant] - Employment - [Job],Employment ,How long [have/did] [you/they] [worked/work] here (in years and months)?,Employment Time Period,Qualify,Applicant,,4,830,-,-,1+,C-Job 1+,P-Job1+,,,Q_AD_Employment_Status = Employed,Q_AD_Employment_Time_Period,F_AD_Employment_Time_Period,Customer,,,-,,,Answer as best as you can. We can change this later.,,Date,22-Dec-19,-,date_dd-mm-yyyy,dd-mm-yyyy,Numerical (to start),,Unsure,,dd-mm-yyyy (but accept dd-mm-yy),,,,,,
Quote,Applicant Details,Employment,Employed,Application,[Applicant] - Employment - [Job],Employment ,What [is/was] [your/their] prior employment type?,Employment Type(Prior),Qualify,Applicant,,5,840,-,-,1+,C-Job 1+,P-Job1+,,,Q_AD_Employment_Time_Period < 3 months,Q_AD_Employment_Type(Prior),F_AD_Employment_Type(Prior),Customer,,,-,,,Explain casual (legal),,Enum (Single),Full Time,"Full Time, Part Time, Casual, Other",multi_button_single_select,Ask anything,Standard,,Unsure,,-,,,,,,Train AI to give guidance as customers regularly misunderstand their employment type
,Applicant Details,Employment,Employed,Application,[Applicant] - Employment - [Job],Employment ,What [is/was] [your/their] prior occupation?,Employment Occupation(Prior),Qualify,Applicant,,6,850,-,-,1+,C-Job 1+,P-Job1+,,,Q_AD_Employment_Time_Period < 3 months,Q_AD_Employment_Occupation(Prior),F_AD_Employment_Occupation(Prior),Customer,,,-,,,-,,String,Plumber,-,string,Plumber,Standard,,-,,-,,,,,,There is a huge variation in lender portal dropdowns for occupation. Should we just ask them to describe job and we use AI to categorise for each Lender? Some Lenders have multiple fields
,Applicant Details,Employment,Employed,Application,[Applicant] - Employment - [Job],Employment ,What [is/was] [your/their] employer's company name?,Employer Name,App,Applicant,,7,860,-,-,1+,C-Job 1+,P-Job1+,,,Q_AD_Employment_Status = Employed,Q_AD_Employer_Name,F_AD_Employer_Name,Customer,,,-,,,-,,String,Coles,-,string,Employer name,Standard,,-,,-,,,,,,Some Lenders may contact them. They rarely do unless something wrong. Application Form only. Check Lender policy
,Applicant Details,Employment,Employed,Application,[Applicant] - Employment - [Job],Employment ,Are [you/they] on probation?,Probation,Qualify,Applicant,,8,870,-,-,1+,C-Job 1+,,,Job is Current,Q_AD_Employment_Time_Period < 1 year,Q_AD_Probation,F_AD_Probation,Customer,,,-,,,-,,Boolean,Yes,"Yes, No, Unsure",multi_button_single_select,Ask anything,Standard,,Unsure,,,,,,,,Only display where user current employment is less than 12 months
